onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.031	0.206	fixation	n/a	190.7	423.3	2653.0	n/a	n/a	n/a	n/a
0.239	0.048	saccade	n/a	189.9	422.8	n/a	224.7	290.9	5.26	170.0
0.289	0.136	fixation	n/a	235.4	275.9	2622.0	n/a	n/a	n/a	n/a
0.427	0.166	saccade	n/a	238.3	281.2	n/a	548.4	296.0	11.92	1937.0
0.453	0.1	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.595	0.21	fixation	n/a	548.1	304.5	2561.0	n/a	n/a	n/a	n/a
0.807	0.026	saccade	n/a	544.6	310.3	n/a	465.8	325.8	3.13	182.0
0.835	0.184	fixation	n/a	451.8	329.2	2764.0	n/a	n/a	n/a	n/a
1.021	0.032	saccade	n/a	450.8	329.2	n/a	545.7	345.1	3.74	208.0
1.055	0.298	fixation	n/a	551.0	348.6	2705.0	n/a	n/a	n/a	n/a
1.355	0.022	saccade	n/a	551.7	347.4	n/a	591.4	360.9	1.62	106.0
1.379	0.19	fixation	n/a	596.8	358.0	2647.0	n/a	n/a	n/a	n/a
1.571	0.02	saccade	n/a	597.1	356.4	n/a	564.6	356.6	1.26	91.0
1.593	0.49	fixation	n/a	552.8	356.3	2622.0	n/a	n/a	n/a	n/a
2.08	0.0	trigger_115	115	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.085	0.688	saccade	n/a	541.1	361.3	n/a	403.2	227.1	7.51	2084.0
2.115	0.586	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.775	0.138	fixation	n/a	392.7	235.1	2616.0	n/a	n/a	n/a	n/a
2.915	0.156	saccade	n/a	390.5	262.3	n/a	502.8	319.8	4.9	1895.0
2.939	0.1	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.073	0.23	fixation	n/a	514.1	320.1	2575.0	n/a	n/a	n/a	n/a
3.305	0.032	saccade	n/a	516.1	316.7	n/a	416.5	307.0	3.88	201.0
3.339	0.21	fixation	n/a	409.6	313.4	2527.0	n/a	n/a	n/a	n/a
3.551	0.03	saccade	n/a	408.9	316.4	n/a	513.1	326.0	4.06	211.0
3.583	0.186	fixation	n/a	520.5	329.1	2461.0	n/a	n/a	n/a	n/a
3.771	0.172	saccade	n/a	518.9	339.2	n/a	558.2	318.8	1.72	2099.0
